"Points_m_XYZ:0","Points_m_XYZ:1","Points_m_XYZ:2","intensity","laser_id","azimuth","distance_m","adjustedtime","timestamp"
0.008087726309895515,2.725830793380737,-0.7303873300552368,4.0,0.0,17.0,2.822,1026308356.0,1026308356.0
0.01080541498959065,3.439459085464478,0.06003627926111221,67.0,1.0,18.0,3.44,1026308358.0,1026308358.0
0.01078550424426794,3.252429485321045,-0.7508866190910339,4.0,2.0,19.0,3.338,1026308360.0,1026308360.0
0.01205413043498993,3.453239917755127,0.1809777319431305,48.0,3.0,20.0,3.458,1026308362.0,1026308362.0
0.01201337296515703,3.441563844680786,-0.668976366519928,56.0,4.0,20.0,3.506,1026308365.0,1026308365.0
0.01256755460053682,3.428879022598267,0.2999900579452515,66.0,5.0,21.0,3.442,1026308367.0,1026308367.0
0.01310667861253023,3.41342568397522,-0.5406374931335449,54.0,6.0,22.0,3.456,1026308369.0,1026308369.0
0.01386545039713383,3.45403265953064,0.424105316400528,56.0,7.0,23.0,3.48,1026308372.0,1026308372.0
0.01437682658433914,3.432194471359253,-0.4214241802692413,49.0,8.0,24.0,3.458,1026308374.0,1026308374.0
0.01509218290448189,3.45885157585144,0.5478335022926331,55.0,9.0,25.0,3.502,1026308376.0,1026308376.0
0.01497005391865969,3.430861949920654,-0.3001643717288971,61.0,10.0,25.0,3.444,1026308379.0,1026308379.0
0.01557281892746687,3.431733369827271,0.6670682430267334,45.0,11.0,26.0,3.496,1026308381.0,1026308381.0
0.01625422574579716,3.449228048324585,-0.1807683855295181,72.0,12.0,27.0,3.454,1026308383.0,1026308383.0
0.01687529310584068,3.453126192092896,0.7972265481948853,59.0,13.0,28.0,3.544,1026308385.0,1026308385.0
0.01744916290044785,3.447430610656738,-0.06017589569091797,57.0,14.0,29.0,3.448,1026308388.0,1026308388.0
0.01744384132325649,3.4463791847229,0.9234663248062134,57.0,15.0,29.0,3.568,1026308390.0,1026308390.0
0.01761507615447044,2.727717638015747,-0.7309049963951111,4.0,0.0,37.0,2.824,1026308411.0,1026308411.0
0.02281130105257034,3.439400434494019,0.06003627926111221,67.0,1.0,38.0,3.44,1026308413.0,1026308413.0
0.02203241921961308,3.236782312393189,-0.747287392616272,4.0,2.0,39.0,3.322,1026308415.0,1026308415.0
0.02402445301413536,3.441193580627441,0.1803497076034546,48.0,3.0,40.0,3.446,1026308418.0,1026308418.0
0.02402660064399242,3.441501140594482,-0.668976366519928,56.0,4.0,40.0,3.506,1026308420.0,1026308420.0
0.02456501498818398,3.432799100875855,0.3003386855125427,66.0,5.0,41.0,3.446,1026308422.0,1026308422.0
0.02502167783677578,3.41335916519165,-0.5406374931335449,54.0,6.0,42.0,3.456,1026308425.0,1026308425.0
0.02589239552617073,3.449993371963501,0.4236178398132324,56.0,7.0,43.0,3.476,1026308427.0,1026308427.0
0.02622013539075851,3.414258003234863,-0.4192305505275726,46.0,8.0,44.0,3.44,1026308429.0,1026308429.0
0.02713470719754696,3.454827308654785,0.547207772731781,55.0,9.0,45.0,3.498,1026308432.0,1026308432.0
0.02688331343233585,3.422819375991821,-0.299467146396637,63.0,10.0,45.0,3.436,1026308434.0,1026308434.0
0.02758323214948177,3.435584306716919,0.6678314805030823,47.0,11.0,46.0,3.5,1026308436.0,1026308436.0
0.02829417958855629,3.449150323867798,-0.1807683855295181,72.0,12.0,47.0,3.454,1026308438.0,1026308438.0
0.02876559458673,3.433559656143189,0.792727530002594,56.0,13.0,48.0,3.524,1026308441.0,1026308441.0
0.0295170396566391,3.451348066329956,-0.06024570763111115,57.0,14.0,49.0,3.452,1026308443.0,1026308443.0
0.02950688637793064,3.450160980224609,0.9245016574859619,56.0,15.0,49.0,3.572,1026308445.0,1026308445.0
0.0267170611768961,2.733439445495606,-0.7324578762054443,4.0,0.0,56.0,2.83,1026308466.0,1026308466.0
0.03415695950388908,3.43330717086792,0.05993156507611275,62.0,1.0,57.0,3.434,1026308468.0,1026308468.0
0.03284475952386856,3.244486093521118,-0.7490870356559753,4.0,2.0,58.0,3.33,1026308471.0,1026308471.0
0.03479471057653427,3.437106847763062,0.1801403611898422,46.0,3.0,58.0,3.442,1026308473.0,1026308473.0
0.03527716919779778,3.425697326660156,-0.6659234166145325,53.0,4.0,59.0,3.49,1026308475.0,1026308475.0
0.03599017858505249,3.436683177947998,0.300687313079834,63.0,5.0,60.0,3.45,1026308478.0,1026308478.0
0.03634064644575119,3.413257360458374,-0.5406374931335449,54.0,6.0,61.0,3.456,1026308480.0,1026308480.0
0.03726840019226074,3.443933486938477,0.4228866100311279,54.0,7.0,62.0,3.47,1026308482.0,1026308482.0
0.03756390511989594,3.416137218475342,-0.4194742739200592,56.0,8.0,63.0,3.442,1026308484.0,1026308484.0
0.03785789757966995,3.442873477935791,0.5453305244445801,57.0,9.0,63.0,3.486,1026308487.0,1026308487.0
0.03836717084050179,3.434664964675903,-0.3005129992961884,63.0,10.0,64.0,3.448,1026308489.0,1026308489.0
0.03902043402194977,3.43940019607544,0.6685947179794312,45.0,11.0,65.0,3.504,1026308491.0,1026308491.0
0.03975482285022736,3.451034784317017,-0.1808730661869049,68.0,12.0,66.0,3.456,1026308494.0,1026308494.0
0.04024267941713333,3.441239833831787,0.7945271134376526,56.0,13.0,67.0,3.532,1026308496.0,1026308496.0
0.04074836894869804,3.433235168457031,-0.05993156507611275,53.0,14.0,68.0,3.434,1026308498.0,1026308498.0
0.04090201482176781,3.446180582046509,0.9234663248062134,56.0,15.0,68.0,3.568,1026308501.0,1026308501.0
0.03615588694810867,2.725602865219116,-0.7303873300552368,4.0,0.0,76.0,2.822,1026308521.0,1026308521.0
0.04622184857726097,3.439165592193604,0.06003627926111221,70.0,1.0,77.0,3.44,1026308524.0,1026308524.0
0.04438215866684914,3.259940147399902,-0.7526862025260925,4.0,2.0,78.0,3.346,1026308526.0,1026308526.0
0.04750225320458412,3.444944381713867,0.180559054017067,47.0,3.0,79.0,3.45,1026308528.0,1026308528.0
0.04715366289019585,3.419663906097412,-0.6647785305976868,59.0,4.0,79.0,3.484,1026308531.0,1026308531.0
0.04781931266188622,3.424583435058594,0.2996414303779602,63.0,5.0,80.0,3.438,1026308533.0,1026308533.0
0.04825491830706596,3.41310977935791,-0.5406374931335449,53.0,6.0,81.0,3.456,1026308535.0,1026308535.0
0.04940338060259819,3.451721906661987,0.423861563205719,54.0,7.0,82.0,3.478,1026308537.0,1026308537.0
0.04951697587966919,3.417970180511475,-0.4197180271148682,53.0,8.0,83.0,3.444,1026308540.0,1026308540.0
0.05047640204429627,3.442711591720581,0.5453305244445801,53.0,9.0,84.0,3.486,1026308542.0,1026308542.0
0.05012248456478119,3.418572664260864,-0.2991185188293457,63.0,10.0,84.0,3.432,1026308544.0,1026308544.0
0.05108419060707092,3.443169116973877,0.66935795545578,45.0,11.0,85.0,3.508,1026308547.0,1026308547.0
0.05180094018578529,3.45087480545044,-0.1808730661869049,68.0,12.0,86.0,3.456,1026308549.0,1026308549.0
0.05210665613412857,3.431335687637329,0.7922776341438293,54.0,13.0,87.0,3.522,1026308551.0,1026308551.0
0.0526709221303463,3.429073095321655,-0.05986175313591957,56.0,14.0,88.0,3.43,1026308554.0,1026308554.0
0.05332257598638535,3.432486295700073,0.9198428988456726,59.0,15.0,89.0,3.554,1026308556.0,1026308556.0
0.04573452845215797,2.729323148727417,-0.7314226031303406,4.0,0.0,96.0,2.826,1026308577.0,1026308577.0
0.0578879676759243,3.418989181518555,0.05968723073601723,72.0,1.0,97.0,3.42,1026308579.0,1026308579.0
0.05589452385902405,3.267559051513672,-0.7544858455657959,4.0,2.0,98.0,3.354,1026308581.0,1026308581.0
0.05892583727836609,3.444767951965332,0.180559054017067,47.0,3.0,98.0,3.45,1026308584.0,1026308584.0
0.05932767689228058,3.433219432830811,-0.6674498915672302,56.0,4.0,99.0,3.498,1026308586.0,1026308586.0
0.05963396281003952,3.416427373886108,0.2989442050457001,66.0,5.0,100.0,3.43,1026308588.0,1026308588.0
0.05992486327886581,3.399095058441162,-0.5384474396705627,56.0,6.0,101.0,3.442,1026308590.0,1026308590.0
0.06141650304198265,3.449543714523315,0.4236178398132324,56.0,7.0,102.0,3.476,1026308593.0,1026308593.0
0.06155467033386231,3.423730850219727,-0.4204492270946503,49.0,8.0,103.0,3.45,1026308595.0,1026308595.0
0.06249340251088142,3.442514419555664,0.5453305244445801,55.0,9.0,104.0,3.486,1026308597.0,1026308597.0
0.06209138780832291,3.420369148254395,-0.2992928326129913,66.0,10.0,104.0,3.434,1026308600.0,1026308600.0
0.06281497329473495,3.427266597747803,0.6663050055503845,47.0,11.0,105.0,3.492,1026308602.0,1026308602.0
0.06403116881847382,3.460657596588135,-0.1813964247703552,72.0,12.0,106.0,3.466,1026308604.0,1026308604.0
0.06415671855211258,3.435029745101929,0.7931774258613586,54.0,13.0,107.0,3.526,1026308607.0,1026308607.0
0.0647156834602356,3.432867050170898,-0.05993156507611275,53.0,14.0,108.0,3.434,1026308609.0,1026308609.0
0.06470481306314468,3.432290554046631,0.9198428988456726,59.0,15.0,108.0,3.554,1026308611.0,1026308611.0
0.05522225797176361,2.727215528488159,-0.7309049963951111,4.0,0.0,116.0,2.824,1026308632.0,1026308632.0
0.06990377604961395,3.422764778137207,0.05975703895092011,72.0,1.0,117.0,3.424,1026308634.0,1026308634.0
0.06681852042675018,3.243964195251465,-0.7490870356559753,4.0,2.0,118.0,3.33,1026308636.0,1026308636.0
0.0709499642252922,3.444541215896606,0.180559054017067,47.0,3.0,118.0,3.45,1026308639.0,1026308639.0
0.07143380492925644,3.438879728317261,-0.6685947179794312,59.0,4.0,119.0,3.504,1026308641.0,1026308641.0
0.07172605395317078,3.424166202545166,0.2996414303779602,66.0,5.0,120.0,3.438,1026308643.0,1026308643.0
0.07178955525159836,3.398865222930908,-0.5384474396705627,56.0,6.0,121.0,3.442,1026308646.0,1026308646.0
